Console,GameName,Review,Score,Score_Category
PS,Sydney 2000 Review,Mediocre,5,Mediocre (5-5.9)
PS,ATV: Quad Power Racing Review,Poor,4,Poor (4-4.9)
N64,Mario Tennis Review,Great,8,Great (8-8.9)
PC,Grand Prix 3 Review,Great,8,Great (8-8.9)
GBC,Spider-Man Review,Fair,6,Fair (6-6.9)
PS,NFL GameDay 2001 Review,Good,7,Good (7-7.9)
PS,Surf Riders Review,Fair,6,Fair (6-6.9)
DC,Sega GT Review,Good,7,Good (7-7.9)
PC,Microsoft Golf 2001 Edition Review,Good,7,Good (7-7.9)
DC,Deep Fighter Review,Great,8,Great (8-8.9)
PS,Peter Jacobsen's Golden Tee Golf Review,Terrible,2,Terrible (2-2.9)
PS,Blaster Master: Blasting Again Review,Good,7,Good (7-7.9)
PS,Countdown Vampires Review,Bad,3,Bad (3-3.9)
PS,Dave Mirra Freestyle BMX Review,Fair,6,Fair (6-6.9)
PC,Madden NFL 2001 Review,Good,7,Good (7-7.9)
N64,Madden NFL 2001 Review,Superb,9,Excellent (9-10)
DC,NFL QB Club 2001 Review,Poor,4,Poor (4-4.9)
GBC,Perfect Dark Review,Mediocre,5,Mediocre (5-5.9)
N64,San Francisco Rush 2049 Review,Good,7,Good (7-7.9)
GBC,San Francisco Rush 2049 Review,Bad,3,Bad (3-3.9)
PC,Rally Masters: Michelin Race of Champions Review,Good,7,Good (7-7.9)
PS,The Flintstones Bedrock Bowling Review,Terrible,2,Terrible (2-2.9)
PC,Sydney 2000 Review,Poor,4,Poor (4-4.9)
DC,Spawn Review,Mediocre,5,Mediocre (5-5.9)
DC,NFL 2K1 Review,Superb,9,Excellent (9-10)
PS,Disney's Dinosaur Review,Poor,4,Poor (4-4.9)
PS,NFL Blitz 2001 Review,Good,7,Good (7-7.9)
PS,NCAA GameBreaker 2001 Review,Great,8,Great (8-8.9)
PC,Homeworld: Cataclysm Review,Great,8,Great (8-8.9)
PC,Star Trek: New Worlds Review,Poor,4,Poor (4-4.9)
PC,NASCAR Heat Review,Good,7,Good (7-7.9)
PC,Star Trek: Voyager Elite Force Review,Great,8,Great (8-8.9)
PS,MTV Skateboarding Review,Terrible,2,Terrible (2-2.9)
PC,MTV Sports: Skateboarding Review,Mediocre,5,Mediocre (5-5.9)
DC,Virtua Athlete 2000 Review,Good,7,Good (7-7.9)
PS,Ms. Pac-Man Maze Madness Review,Fair,6,Fair (6-6.9)
